,experiment,date,hour,device_make,platform_os,response
1169,0,7,3,80,1,0
1170,0,6,14,72,1,0
1171,1,1,15,13,1,0
1172,1,3,5,13,1,0
1173,1,3,7,31,1,0
1174,1,1,12,68,1,0
1175,1,6,6,13,1,0
1176,0,0,15,13,1,0
1177,1,3,6,13,1,0
1178,0,6,21,13,1,0
1179,1,0,11,13,1,0
1180,0,2,5,13,1,0
1181,1,5,8,57,1,0
1182,0,0,15,13,1,0
1183,0,7,14,101,1,0
1184,1,0,1,13,1,0
1185,1,3,9,73,1,0
1186,0,3,1,87,1,0
1187,1,2,3,66,1,0
1188,1,2,9,13,1,0
1189,1,0,13,13,1,0
1190,0,0,15,13,1,0
1191,0,5,14,13,1,0
1192,1,0,12,13,1,0
1193,1,1,8,13,1,0
1194,0,4,7,47,1,0
1195,1,0,4,13,1,0
1196,1,4,22,13,1,0
1197,1,6,8,35,1,0
1198,1,6,3,89,1,0
1199,1,3,5,105,1,0
1200,0,6,20,33,1,0
1201,1,1,6,13,1,0
1202,1,0,7,13,1,0
1203,0,0,15,13,1,0
1204,0,0,15,13,1,0
1205,0,0,15,81,1,0
1206,0,0,15,13,1,0
1207,1,5,15,13,1,0
1208,0,5,20,13,1,0
1209,0,0,15,51,1,0
1210,1,7,3,13,1,0
1211,1,0,9,13,1,0
1212,0,2,19,72,1,0
1213,1,5,14,13,1,0
1214,0,1,7,64,1,0
1215,1,7,5,68,1,0
1216,1,0,5,13,1,0
1217,0,0,15,13,1,0
1218,0,5,9,96,1,0
1219,1,0,0,13,1,0
1220,0,4,17,114,0,0
1221,0,0,15,13,1,0
1222,1,6,14,13,1,0
1223,0,4,1,13,1,0
1224,0,4,16,13,1,0
1225,1,5,19,13,1,0
1226,1,7,8,13,1,0
1227,1,7,8,44,1,0
1228,1,2,3,13,1,0
1229,0,1,2,64,1,0
1230,1,7,6,13,1,0
1231,0,6,8,33,1,0
1232,1,0,11,13,1,0
1233,0,7,12,51,1,0
1234,0,2,3,13,1,0
1235,0,0,15,13,1,0
1236,0,2,4,2,1,0
1237,0,1,4,13,1,0
1238,1,5,17,69,1,0
1239,1,6,18,13,1,0
1240,0,6,7,13,1,0
1241,0,7,16,13,1,0
1242,1,0,4,13,1,0
